,CLIENTNUM,Categoria,Idade,Sexo,Dependentes,Educação,Estado Civil,Faixa Salarial Anual,Categoria Cartão,Meses como Cliente,Produtos Contratados,Inatividade 12m,Contatos 12m,Limite,Limite Consumido,Limite Disponível,Mudanças Transacoes_Q4_Q1,Valor Transacoes 12m,Qtde Transacoes 12m,Mudança Qtde Transações_Q4_Q1,Taxa de Utilização Cartão
314,708330858,Cancelado,57,M,3,Ensino Superior,Casado,$120K +,Blue,38,2,3,3,8249.0,1381,6868.0,798.0,678,11,833.0,167.0
337,709278258,Cancelado,54,M,2,Não informado,Casado,$40K - $60K,Blue,44,4,3,2,2902.0,2517,385.0,821.0,996,26,444.0,867.0
343,714871683,Cancelado,58,M,1,Sem ensino formal,Casado,$40K - $60K,Blue,36,2,4,3,1438.3,537,901.3,819.0,715,13,182.0,373.0
386,708288108,Cancelado,43,M,4,Post-Ensino Superior,Não informado,$80K - $120K,Blue,30,2,5,3,5639.0,1547,4092.0,1087.0,647,15,364.0,274.0
401,717354558,Cancelado,57,M,2,Sem ensino formal,Casado,$120K +,Blue,40,3,3,3,3106.0,1120,1986.0,1045.0,683,17,0.7,361.0
406,714639783,Cancelado,42,M,3,Ensino Superior Incompleto,Casado,$60K - $80K,Blue,34,3,3,3,13450.0,0,13450.0,742.0,1000,18,59.0,0.0
416,778868958,Cancelado,42,F,2,Ensino Superior,Casado,Less than $40K,Blue,23,3,3,3,1929.0,1673,256.0,835.0,857,36,1118.0,867.0
420,710940183,Cancelado,49,F,3,Ensino Superior,Casado,Less than $40K,Blue,38,6,3,2,2185.0,0,2185.0,727.0,715,20,818.0,0.0
426,709547658,Cancelado,39,M,2,Sem ensino formal,Solteiro,$60K - $80K,Blue,36,5,3,3,13961.0,1299,12662.0,842.0,783,20,667.0,93.0
429,712159083,Cancelado,58,F,4,Não informado,Casado,Less than $40K,Blue,46,2,3,3,2536.0,0,2536.0,917.0,901,35,522.0,0.0
446,711791583,Cancelado,52,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,40,1,2,2,2317.0,0,2317.0,1005.0,884,19,727.0,0.0
447,712315683,Cancelado,53,F,2,Sem ensino formal,Solteiro,Less than $40K,Blue,45,1,1,1,1981.0,1518,463.0,1019.0,973,25,923.0,766.0
451,789842283,Cancelado,54,M,2,Ensino Superior,Casado,$60K - $80K,Blue,42,3,3,2,4320.0,0,4320.0,967.0,706,21,0.5,0.0
455,719418933,Cancelado,53,M,2,Sem ensino formal,Casado,$80K - $120K,Blue,36,1,3,3,4503.0,0,4503.0,659.0,748,20,429.0,0.0
463,781794708,Cancelado,35,M,3,Post-Ensino Superior,Não informado,$80K - $120K,Blue,29,2,1,3,17030.0,1911,15119.0,528.0,715,25,562.0,112.0
467,714272658,Cancelado,43,F,2,Sem ensino formal,Solteiro,Less than $40K,Blue,24,2,3,2,2962.0,2517,445.0,1046.0,929,31,409.0,0.85
473,767294658,Cancelado,56,M,2,Ensino Superior Incompleto,Solteiro,$120K +,Blue,50,2,2,3,16867.0,0,16867.0,885.0,654,14,0.4,0.0
475,708241233,Cancelado,52,F,3,Post-Ensino Superior,Solteiro,Less than $40K,Blue,47,3,3,2,2972.0,0,2972.0,1035.0,922,25,562.0,0.0
509,716223708,Cancelado,45,F,3,Sem ensino formal,Solteiro,Não informado,Blue,36,3,3,3,4028.0,710,3318.0,731.0,791,22,833.0,176.0
519,719443683,Cancelado,50,M,1,Não informado,Solteiro,$120K +,Blue,39,3,2,3,27512.0,2137,25375.0,1048.0,1149,25,562.0,78.0
522,779610033,Cancelado,58,M,1,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,47,3,3,3,12151.0,1799,10352.0,1022.0,918,14,556.0,148.0
534,709345008,Cancelado,53,F,2,Doutorado,Casado,Não informado,Blue,39,1,2,3,1438.3,0,1438.3,644.0,807,22,692.0,0.0
537,721417233,Cancelado,45,M,2,Ensino Superior,Casado,$60K - $80K,Blue,25,3,5,3,1438.3,0,1438.3,676.0,709,27,421.0,0.0
548,769137108,Cancelado,43,F,2,Post-Ensino Superior,Casado,Less than $40K,Blue,37,3,3,1,1438.3,0,1438.3,1004.0,974,28,273.0,0.0
549,717640083,Cancelado,59,M,1,Ensino Médio,Casado,$60K - $80K,Blue,36,3,2,3,6705.0,0,6705.0,749.0,731,18,0.5,0.0
559,794977533,Cancelado,62,M,0,Ensino Médio,Casado,$60K - $80K,Blue,56,3,3,2,8077.0,0,8077.0,749.0,906,16,333.0,0.0
564,752604633,Cancelado,57,M,2,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,50,2,5,3,6462.0,0,6462.0,856.0,761,17,214.0,0.0
568,711242058,Cancelado,48,M,4,Não informado,Solteiro,$80K - $120K,Blue,36,1,3,1,11862.0,2517,9345.0,766.0,643,16,231.0,212.0
580,718121658,Cancelado,56,M,1,Ensino Superior Incompleto,Casado,$60K - $80K,Blue,44,5,3,3,1704.0,0,1704.0,701.0,660,17,308.0,0.0
581,711593808,Cancelado,55,M,1,Ensino Médio,Casado,$60K - $80K,Blue,46,2,2,3,1438.3,0,1438.3,1037.0,888,18,1.25,0.0
583,718731183,Cancelado,61,M,1,Não informado,Casado,$40K - $60K,Blue,49,1,2,2,5472.0,788,4684.0,526.0,705,14,273.0,144.0
593,713865333,Cancelado,45,F,4,Sem ensino formal,Casado,Less than $40K,Blue,38,3,4,3,4908.0,0,4908.0,993.0,827,21,0.75,0.0
594,797707008,Cancelado,44,F,3,Doutorado,Casado,Less than $40K,Blue,38,6,1,3,7222.0,0,7222.0,685.0,920,18,0.5,0.0
596,720370533,Cancelado,55,M,3,Sem ensino formal,Casado,$60K - $80K,Blue,44,3,2,2,2323.0,0,2323.0,737.0,804,15,0.5,0.0
598,718675158,Cancelado,55,F,1,Não informado,Casado,Less than $40K,Blue,36,4,1,3,1438.3,361,1077.3,963.0,850,22,692.0,251.0
604,720605808,Cancelado,53,F,1,Ensino Superior,Solteiro,Less than $40K,Blue,36,2,2,3,1438.3,0,1438.3,672.0,799,17,214.0,0.0
624,770724558,Cancelado,42,M,2,Ensino Superior Incompleto,Casado,$60K - $80K,Blue,28,6,1,3,7340.0,0,7340.0,0.65,838,24,412.0,0.0
626,719309958,Cancelado,55,M,3,Doutorado,Solteiro,$80K - $120K,Blue,35,4,1,3,20865.0,0,20865.0,881.0,837,25,667.0,0.0
640,808897683,Cancelado,53,M,1,Ensino Superior,Solteiro,$80K - $120K,Blue,48,3,3,3,30271.0,1406,28865.0,1336.0,3231,47,306.0,46.0
649,718939083,Cancelado,54,F,2,Ensino Superior,Casado,Less than $40K,Blue,45,3,1,3,1438.3,306,1132.3,1035.0,694,15,364.0,213.0
653,712979133,Cancelado,55,M,4,Ensino Médio,Casado,$80K - $120K,Blue,41,2,2,2,27560.0,900,26660.0,1031.0,646,10,0.25,33.0
657,720071583,Cancelado,48,F,2,Não informado,Casado,Less than $40K,Blue,36,5,1,3,7151.0,800,6351.0,986.0,854,22,375.0,112.0
659,812420358,Cancelado,61,F,0,Ensino Superior,Casado,Less than $40K,Blue,56,3,3,3,2122.0,554,1568.0,857.0,949,17,133.0,261.0
677,798792408,Cancelado,48,M,3,Ensino Médio,Casado,$80K - $120K,Blue,42,1,1,3,9959.0,0,9959.0,688.0,805,24,143.0,0.0
689,711204483,Cancelado,56,M,4,Ensino Médio,Casado,$60K - $80K,Blue,46,3,3,3,2340.0,1930,410.0,987.0,781,15,364.0,825.0
691,713945883,Cancelado,62,F,2,Ensino Superior,Casado,Less than $40K,Blue,52,4,2,2,2490.0,513,1977.0,678.0,864,20,333.0,206.0
717,789513858,Cancelado,43,M,3,Não informado,Casado,$40K - $60K,Blue,35,2,2,3,1438.3,0,1438.3,694.0,891,28,0.4,0.0
727,771963708,Cancelado,56,M,3,Não informado,Casado,$60K - $80K,Blue,45,5,3,2,12248.0,0,12248.0,894.0,767,25,562.0,0.0
728,712433508,Cancelado,59,F,1,Não informado,Casado,Não informado,Blue,50,3,2,3,1438.3,0,1438.3,0.57,724,16,231.0,0.0
734,778506633,Cancelado,43,F,4,Ensino Superior Incompleto,Casado,Less than $40K,Blue,23,6,2,3,7706.0,392,7314.0,764.0,965,27,421.0,51.0
752,713530833,Cancelado,58,M,2,Ensino Superior,Casado,$40K - $60K,Blue,48,2,3,3,4085.0,2238,1847.0,568.0,596,15,0.5,548.0
757,778699908,Cancelado,43,M,2,Sem ensino formal,Casado,$60K - $80K,Blue,24,2,3,3,14447.0,0,14447.0,856.0,915,29,2222.0,0.0
764,716991933,Cancelado,53,F,3,Sem ensino formal,Solteiro,Less than $40K,Blue,35,6,3,1,9786.0,0,9786.0,701.0,820,25,562.0,0.0
775,802002858,Cancelado,62,F,1,Ensino Médio,Casado,Não informado,Blue,56,2,1,2,8990.0,0,8990.0,935.0,747,19,583.0,0.0
785,712373208,Cancelado,43,M,3,Doutorado,Solteiro,$60K - $80K,Blue,35,3,3,2,3312.0,0,3312.0,698.0,647,19,462.0,0.0
810,708455883,Cancelado,57,M,1,Ensino Superior,Solteiro,$80K - $120K,Blue,36,2,3,2,10244.0,861,9383.0,0.78,1127,29,381.0,84.0
813,763895958,Cancelado,53,M,2,Ensino Médio,Casado,$120K +,Blue,46,4,3,1,7474.0,0,7474.0,858.0,732,21,615.0,0.0
816,711927108,Cancelado,54,M,3,Ensino Médio,Casado,$80K - $120K,Blue,36,2,3,4,9457.0,350,9107.0,1024.0,1196,28,333.0,37.0
834,711147483,Cancelado,46,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,28,2,2,3,8551.0,1067,7484.0,931.0,1097,32,778.0,125.0
846,720990183,Cancelado,54,M,5,Ensino Médio,Casado,$60K - $80K,Blue,36,5,2,3,14539.0,0,14539.0,907.0,965,26,529.0,0.0
854,716608608,Cancelado,41,M,2,Sem ensino formal,Casado,$80K - $120K,Blue,33,5,3,3,8004.0,1452,6552.0,929.0,1084,32,524.0,181.0
865,788673708,Cancelado,57,F,2,Ensino Médio,Casado,$40K - $60K,Blue,45,2,1,3,1438.3,0,1438.3,1036.0,1254,35,842.0,0.0
880,816600933,Cancelado,56,M,0,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,51,3,2,3,14501.0,0,14501.0,854.0,1031,25,389.0,0.0
881,714208533,Cancelado,43,M,3,Ensino Médio,Casado,$60K - $80K,Blue,36,1,3,3,8663.0,288,8375.0,639.0,916,33,0.32,33.0
887,720426708,Cancelado,56,M,3,Ensino Médio,Solteiro,$60K - $80K,Blue,45,2,1,3,8512.0,0,8512.0,1038.0,811,27,1.25,0.0
905,708983658,Cancelado,51,M,2,Sem ensino formal,Solteiro,$120K +,Blue,39,3,3,1,16868.0,0,16868.0,938.0,940,25,471.0,0.0
921,778663458,Cancelado,65,M,1,Ensino Médio,Casado,Less than $40K,Blue,47,3,2,1,1759.0,0,1759.0,1058.0,821,18,0.5,0.0
922,716024808,Cancelado,57,M,1,Ensino Superior,Casado,$80K - $120K,Blue,36,3,3,3,4829.0,2418,2411.0,601.0,938,21,0.4,501.0
935,721249158,Cancelado,42,M,2,Sem ensino formal,Solteiro,$60K - $80K,Blue,30,2,2,3,6414.0,0,6414.0,718.0,708,14,0.4,0.0
971,713845083,Cancelado,41,F,4,Ensino Médio,Solteiro,Less than $40K,Blue,36,6,2,3,4203.0,2517,1686.0,771.0,1489,43,536.0,599.0
978,813499458,Cancelado,45,M,5,Ensino Médio,Não informado,$60K - $80K,Blue,40,3,3,1,1438.3,0,1438.3,1.23,2132,31,107.0,0.0
1003,712240083,Cancelado,38,F,3,Não informado,Solteiro,Less than $40K,Blue,30,6,2,2,3730.0,2517,1213.0,853.0,858,22,467.0,675.0
1005,772532208,Cancelado,51,F,2,Doutorado,Casado,Less than $40K,Blue,41,2,2,3,6630.0,916,5714.0,927.0,842,24,0.5,138.0
1006,778929783,Cancelado,40,M,3,Ensino Superior,Divorciado,$80K - $120K,Blue,22,2,2,3,1925.0,0,1925.0,672.0,781,28,0.75,0.0
1025,713053383,Cancelado,42,M,3,Ensino Superior,Casado,$80K - $120K,Blue,36,1,1,3,34516.0,781,33735.0,803.0,853,12,91.0,23.0
1036,803595858,Cancelado,56,F,3,Ensino Médio,Casado,$40K - $60K,Blue,51,5,2,1,1438.3,0,1438.3,597.0,594,14,556.0,0.0
1043,710754933,Cancelado,61,F,0,Ensino Superior,Casado,Less than $40K,Blue,49,6,2,3,1438.3,0,1438.3,0.94,840,20,818.0,0.0
1044,720007383,Cancelado,41,F,2,Não informado,Solteiro,Não informado,Blue,28,2,1,3,4411.0,2517,1894.0,988.0,803,15,875.0,571.0
1046,718362783,Cancelado,35,M,2,Ensino Superior,Casado,$80K - $120K,Blue,27,3,2,3,12643.0,0,12643.0,393.0,787,21,167.0,0.0
1048,708856983,Cancelado,36,M,3,Post-Ensino Superior,Casado,$120K +,Blue,27,2,1,2,13873.0,0,13873.0,233.0,694,18,286.0,0.0
1062,709961958,Cancelado,58,F,4,Ensino Médio,Divorciado,Não informado,Blue,45,4,1,1,21065.0,2517,18548.0,0.84,1060,32,333.0,119.0
1074,717412608,Cancelado,38,F,2,Ensino Médio,Casado,$40K - $60K,Blue,28,3,2,2,7225.0,0,7225.0,419.0,738,16,231.0,0.0
1088,712120608,Cancelado,35,M,3,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,27,3,2,3,3575.0,1884,1691.0,384.0,861,15,1.5,527.0
1120,710899833,Cancelado,36,M,2,Ensino Superior,Casado,$40K - $60K,Blue,18,3,1,3,7758.0,1408,6350.0,365.0,569,23,643.0,181.0
1137,739594758,Cancelado,51,F,2,Ensino Superior,Solteiro,Less than $40K,Blue,44,6,3,2,3181.0,2517,664.0,595.0,818,16,455.0,791.0
1141,714078558,Cancelado,62,F,1,Ensino Médio,Casado,$40K - $60K,Blue,53,2,1,1,5249.0,0,5249.0,758.0,1315,31,722.0,0.0
1161,779216358,Cancelado,48,M,2,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,38,2,2,3,2111.0,0,2111.0,531.0,773,17,133.0,0.0
1168,712924383,Cancelado,55,M,3,Não informado,Solteiro,$60K - $80K,Blue,36,3,2,2,8411.0,979,7432.0,1029.0,990,22,375.0,116.0
1200,714983283,Cancelado,39,F,3,Ensino Médio,Solteiro,Less than $40K,Blue,36,6,1,3,3651.0,0,3651.0,977.0,862,19,1111.0,0.0
1202,710406633,Cancelado,51,F,3,Sem ensino formal,Casado,Não informado,Blue,36,3,3,2,3664.0,0,3664.0,839.0,1168,31,409.0,0.0
1247,709991883,Cancelado,53,M,1,Ensino Superior,Casado,$80K - $120K,Blue,42,2,1,2,6214.0,1147,5067.0,861.0,938,35,0.75,185.0
1251,809951133,Cancelado,54,M,3,Ensino Superior Incompleto,Solteiro,$120K +,Blue,49,3,2,3,34516.0,0,34516.0,1203.0,2115,24,263.0,0.0
1257,720141408,Cancelado,49,F,2,Ensino Superior,Solteiro,Less than $40K,Blue,31,5,1,2,5456.0,951,4505.0,737.0,1096,27,588.0,174.0
1268,768490458,Cancelado,49,M,2,Sem ensino formal,Casado,$80K - $120K,Blue,43,1,3,3,5701.0,2517,3184.0,716.0,961,32,524.0,442.0
1278,712196508,Cancelado,46,F,3,Ensino Médio,Solteiro,Não informado,Blue,34,4,3,3,29543.0,1164,28379.0,717.0,1015,27,0.35,39.0
1294,711159108,Cancelado,58,F,0,Ensino Médio,Casado,Less than $40K,Blue,36,3,2,2,7418.0,396,7022.0,826.0,911,26,1.0,53.0
1311,713206683,Cancelado,40,M,4,Ensino Superior,Solteiro,$80K - $120K,Silver,22,3,1,3,34516.0,0,34516.0,0.64,1028,26,0.3,0.0
1328,778388358,Cancelado,56,M,3,Ensino Superior,Solteiro,$60K - $80K,Blue,36,2,2,3,4742.0,855,3887.0,635.0,870,24,0.5,0.18
1344,779722308,Cancelado,45,F,3,Ensino Médio,Casado,$40K - $60K,Blue,30,5,2,2,12355.0,0,12355.0,912.0,1044,28,273.0,0.0
1350,713823033,Cancelado,31,F,2,Não informado,Casado,Não informado,Blue,20,3,1,2,8149.0,0,8149.0,331.0,808,30,111.0,0.0
1351,787515333,Cancelado,40,M,3,Sem ensino formal,Casado,$80K - $120K,Blue,29,3,2,3,3616.0,1151,2465.0,687.0,820,21,0.75,318.0
1356,710819733,Cancelado,56,M,3,Ensino Superior,Casado,$120K +,Blue,36,5,1,1,12211.0,0,12211.0,642.0,903,29,526.0,0.0
1415,818375733,Cancelado,51,F,2,Ensino Superior Incompleto,Casado,$40K - $60K,Blue,46,3,1,3,4882.0,695,4187.0,508.0,1544,44,517.0,142.0
1430,709707033,Cancelado,45,M,3,Ensino Superior,Solteiro,$60K - $80K,Blue,32,2,3,2,13162.0,0,13162.0,512.0,1424,38,583.0,0.0
1443,721178583,Cancelado,37,F,3,Ensino Superior,Não informado,Não informado,Blue,22,2,3,2,5674.0,0,5674.0,906.0,1096,29,526.0,0.0
1465,771544533,Cancelado,42,F,5,Ensino Médio,Casado,Não informado,Blue,30,3,1,4,3578.0,0,3578.0,759.0,1015,36,0.44,0.0
1466,708927108,Cancelado,53,M,2,Ensino Superior,Casado,$120K +,Blue,36,1,3,2,12778.0,507,12271.0,967.0,1133,28,0.4,0.04
1477,711772008,Cancelado,35,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,22,1,2,1,1890.0,666,1224.0,691.0,1483,36,0.5,352.0
1478,708799983,Cancelado,40,M,1,Post-Ensino Superior,Casado,$60K - $80K,Blue,36,6,3,4,18386.0,890,17496.0,361.0,1698,43,483.0,48.0
1558,718418958,Cancelado,30,M,1,Post-Ensino Superior,Divorciado,Less than $40K,Blue,36,6,2,4,5061.0,0,5061.0,911.0,1309,38,462.0,0.0
1576,821179233,Cancelado,50,F,1,Post-Ensino Superior,Solteiro,$40K - $60K,Blue,46,1,3,3,1493.0,932,561.0,466.0,1554,43,344.0,624.0
1582,813752433,Cancelado,43,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,38,5,2,4,4075.0,1986,2089.0,1214.0,2449,27,38.0,487.0
1589,708083283,Cancelado,58,M,0,Não informado,Solteiro,$40K - $60K,Blue,45,3,1,3,3421.0,2517,904.0,992.0,992,21,0.4,736.0
1602,806407308,Cancelado,54,F,3,Ensino Superior Incompleto,Solteiro,Não informado,Blue,49,6,2,3,13184.0,0,13184.0,1166.0,2047,33,179.0,0.0
1612,758583708,Cancelado,37,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,24,2,1,4,2802.0,2460,342.0,1029.0,1406,28,77.0,878.0
1628,721003008,Cancelado,36,F,4,Ensino Superior,Casado,Less than $40K,Blue,24,3,2,2,3261.0,2517,744.0,378.0,856,18,59.0,772.0
1634,778708533,Cancelado,26,F,0,Ensino Médio,Solteiro,$40K - $60K,Blue,13,2,2,4,1730.0,1616,114.0,331.0,869,27,286.0,934.0
1649,720122808,Cancelado,52,M,2,Ensino Médio,Casado,$60K - $80K,Silver,35,4,4,3,33180.0,511,32669.0,681.0,797,14,273.0,15.0
1655,713259858,Cancelado,26,M,0,Ensino Médio,Solteiro,$40K - $60K,Blue,15,3,1,3,3324.0,0,3324.0,537.0,982,22,692.0,0.0
1665,716053083,Cancelado,33,M,2,Ensino Superior,Casado,$120K +,Blue,21,2,2,4,27992.0,0,27992.0,433.0,837,18,1.0,0.0
1693,709537683,Cancelado,37,M,3,Ensino Superior Incompleto,Casado,$80K - $120K,Blue,30,3,4,3,11638.0,926,10712.0,262.0,563,15,364.0,0.08
1707,790145733,Cancelado,40,M,3,Ensino Superior Incompleto,Solteiro,$80K - $120K,Silver,33,1,3,4,34516.0,0,34516.0,927.0,1112,26,368.0,0.0
1721,711509658,Cancelado,61,M,2,Ensino Superior,Casado,$120K +,Blue,49,3,0,4,11374.0,2517,8857.0,1015.0,1088,26,1167.0,221.0
1742,719818983,Cancelado,39,M,1,Ensino Superior Incompleto,Divorciado,$80K - $120K,Blue,28,1,3,4,12464.0,0,12464.0,864.0,1195,35,522.0,0.0
1752,804668658,Cancelado,26,F,0,Sem ensino formal,Solteiro,Less than $40K,Blue,20,3,2,4,1438.3,0,1438.3,506.0,947,20,53.0,0.0
1794,720610008,Cancelado,59,M,1,Ensino Superior Incompleto,Casado,$120K +,Blue,50,1,5,4,15796.0,812,14984.0,719.0,1339,23,0.15,51.0
1818,771028533,Cancelado,48,F,3,Post-Ensino Superior,Casado,Less than $40K,Silver,35,5,1,3,10357.0,0,10357.0,506.0,911,25,0.19,0.0
1827,819610908,Cancelado,38,M,2,Sem ensino formal,Solteiro,$80K - $120K,Blue,33,1,4,4,32938.0,2089,30849.0,0.72,1137,26,238.0,63.0
1830,816013383,Cancelado,65,F,0,Ensino Superior,Divorciado,Less than $40K,Blue,56,3,6,3,6184.0,0,6184.0,1016.0,1712,27,286.0,0.0
1840,808273533,Cancelado,39,M,2,Ensino Médio,Solteiro,$60K - $80K,Blue,34,3,4,3,1818.0,0,1818.0,651.0,2054,55,774.0,0.0
1860,785011383,Cancelado,36,F,0,Sem ensino formal,Divorciado,$40K - $60K,Blue,30,1,3,4,2190.0,0,2190.0,908.0,1412,38,583.0,0.0
1864,716382708,Cancelado,46,F,2,Ensino Superior,Solteiro,Less than $40K,Blue,36,3,4,3,8309.0,858,7451.0,888.0,1165,35,0.4,103.0
1867,711224733,Cancelado,32,M,0,Ensino Médio,Casado,$120K +,Blue,27,3,3,4,22382.0,0,22382.0,418.0,695,10,0.25,0.0
1878,791856033,Cancelado,45,M,2,Ensino Superior Incompleto,Divorciado,$80K - $120K,Blue,39,3,4,4,34516.0,0,34516.0,1014.0,1041,27,0.35,0.0
1880,716448783,Cancelado,48,F,3,Ensino Superior,Casado,$40K - $60K,Blue,39,2,4,3,6235.0,0,6235.0,848.0,1225,34,478.0,0.0
1905,708892833,Cancelado,37,M,2,Ensino Superior,Casado,$120K +,Blue,30,2,4,4,13662.0,0,13662.0,153.0,725,22,0.0,0.0
1917,719318583,Cancelado,37,M,3,Ensino Médio,Casado,Less than $40K,Blue,26,3,3,4,6866.0,2389,4477.0,395.0,862,13,182.0,348.0
1950,720504633,Cancelado,46,M,2,Sem ensino formal,Não informado,$60K - $80K,Blue,32,6,2,3,3254.0,0,3254.0,733.0,967,24,1182.0,0.0
1953,711357858,Cancelado,47,F,3,Ensino Superior,Solteiro,Less than $40K,Blue,36,5,3,4,7246.0,0,7246.0,612.0,777,13,625.0,0.0
1968,711816108,Cancelado,40,M,3,Ensino Médio,Solteiro,$80K - $120K,Blue,29,2,2,4,18563.0,0,18563.0,729.0,2395,45,552.0,0.0
1972,713663508,Cancelado,58,M,0,Ensino Médio,Não informado,$40K - $60K,Blue,42,3,2,3,1438.3,0,1438.3,835.0,1088,22,1444.0,0.0
1999,789777408,Cancelado,26,F,0,Post-Ensino Superior,Solteiro,Less than $40K,Blue,15,3,2,3,1442.0,1428,14.0,496.0,1134,26,238.0,0.99
